"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","Abilene Christian",67.8394,257,65.7438,285,98.142,282,96.9951,304,105.174,210,108.855,252,-11.8599,298
"2017","Air Force",68.9391,211,66.9892,233,102.559,183,104.337,174,108.637,285,109.55,270,-5.2123,222
"2017","Akron",68.1375,247,66.2022,265,112.195,27,112.557,46,105.069,206,106.456,209,6.10133,100
"2017","Alabama",67.3984,274,65.0772,302,100.248,239,105.287,153,94.7225,16,92.204,10,13.0828,56
"2017","Alabama A&M",65.7056,315,64.2865,317,93.0062,338,91.4061,342,117.049,350,121.747,350,-30.341,351
"2017","Alabama St.",69.452,180,68.3874,162,93.1581,335,91.0925,345,106.208,230,112.75,315,-21.6573,342
"2017","Albany",64.7768,334,64.1801,320,108.666,69,107.502,116,102.102,138,104.838,178,2.66404,129
"2017","Alcorn St.",68.6334,225,67.6593,202,98.2934,279,95.443,322,99.9804,75,105.951,197,-10.5077,285
"2017","American",65.1501,327,64.2446,318,94.1691,328,95.1445,325,104.676,197,108.088,240,-12.9435,307
"2017","Appalachian St.",71.4327,77,70.3872,62,98.3696,277,99.5244,268,108.141,269,109.129,261,-9.60427,274
"2017","Arizona",67.197,280,65.9952,276,113.67,18,118.362,16,98.2449,48,95.0565,28,23.3054,18
"2017","Arizona St.",72.4749,47,69.9683,78,107.536,89,111.838,55,112.335,332,109.031,257,2.80635,125
"2017","Arkansas",71.5875,70,69.6564,89,110.631,44,116.07,28,103.368,168,99.8245,76,16.2458,35
"2017","Arkansas Pine Bluff",68.7178,221,67.528,210,87.7185,350,85.6652,351,105.688,221,110.941,299,-25.2755,348
"2017","Arkansas St.",68.5638,228,67.2234,217,105.362,135,106.382,138,101.011,112,103.398,149,2.98435,124
"2017","Army",71.9306,59,71.2667,37,98.9956,267,98.6077,282,100.889,107,104.646,175,-6.0387,230
"2017","Auburn",75.2285,11,73.4827,10,106.061,118,111.859,54,105.17,208,103.34,145,8.51901,82
"2017","Austin Peay",71.604,69,69.9423,80,105.32,138,106.153,143,117.643,351,117.228,342,-11.075,289
"2017","Ball St.",72.8639,37,71.0239,49,105.73,126,104.753,164,102.953,159,105.374,189,-0.620483,180
