adventure,romance,action,thriller,comedy,drama,director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
1,0,1,0,0,0,JamesCameron,178,855,JoelDavidMoore,1000,760505847,Action|Adventure|Fantasy|Sci-Fi,CCHPounder,Avatar ,4834,WesStudi,English,USA,PG-13,237000000,2009,936,7.9,33000
1,0,1,0,0,0,GoreVerbinski,169,1000,OrlandoBloom,40000,309404152,Action|Adventure|Fantasy,JohnnyDepp,PiratesoftheCaribbean:AtWorld'sEnd ,48350,JackDavenport,English,USA,PG-13,300000000,2007,5000,7.1,0
1,0,1,1,0,0,SamMendes,148,161,RoryKinnear,11000,200074175,Action|Adventure|Thriller,ChristophWaltz,Spectre ,11700,StephanieSigman,English,UK,PG-13,245000000,2015,393,6.8,85000
0,0,1,1,0,0,ChristopherNolan,164,23000,ChristianBale,27000,448130642,Action|Thriller,TomHardy,TheDarkKnightRises ,106759,JosephGordon-Levitt,English,USA,PG-13,250000000,2012,23000,8.5,164000
1,0,1,0,0,0,AndrewStanton,132,530,SamanthaMorton,640,73058679,Action|Adventure|Sci-Fi,DarylSabara,JohnCarter ,1873,PollyWalker,English,USA,PG-13,263700000,2012,632,6.6,24000
1,1,1,0,0,0,SamRaimi,156,4000,JamesFranco,24000,336530303,Action|Adventure|Romance,J.K.Simmons,Spider-Man3 ,46055,KirstenDunst,English,USA,PG-13,258000000,2007,11000,6.2,0
1,1,0,0,1,0,NathanGreno,100,284,DonnaMurphy,799,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,BradGarrett,Tangled ,2036,M.C.Gainey,English,USA,PG,260000000,2010,553,7.8,29000
1,0,1,0,0,0,JossWhedon,141,19000,RobertDowneyJr.,26000,458991599,Action|Adventure|Sci-Fi,ChrisHemsworth,Avengers:AgeofUltron ,92000,ScarlettJohansson,English,USA,PG-13,250000000,2015,21000,7.5,118000
1,0,0,0,0,0,DavidYates,153,10000,DanielRadcliffe,25000,301956980,Adventure|Family|Fantasy|Mystery,AlanRickman,HarryPotterandtheHalf-BloodPrince ,58753,RupertGrint,English,UK,PG,250000000,2009,11000,7.5,10000
1,0,1,0,0,0,ZackSnyder,183,2000,LaurenCohan,15000,330249062,Action|Adventure|Sci-Fi,HenryCavill,BatmanvSuperman:DawnofJustice ,24450,AlanD.Purwin,English,USA,PG-13,250000000,2016,4000,6.9,197000
1,0,1,0,0,0,BryanSinger,169,903,MarlonBrando,18000,200069408,Action|Adventure|Sci-Fi,KevinSpacey,SupermanReturns ,29991,FrankLangella,English,USA,PG-13,209000000,2006,10000,6.1,0
1,0,1,0,0,0,MarcForster,106,393,MathieuAmalric,451,168368427,Action|Adventure,GiancarloGiannini,QuantumofSolace ,2023,RoryKinnear,English,UK,PG-13,200000000,2008,412,6.7,0
1,0,1,0,0,0,GoreVerbinski,151,1000,OrlandoBloom,40000,423032628,Action|Adventure|Fantasy,JohnnyDepp,PiratesoftheCaribbean:DeadMan'sChest ,48486,JackDavenport,English,USA,PG-13,225000000,2006,5000,7.3,5000
1,0,1,0,0,0,GoreVerbinski,150,1000,RuthWilson,40000,89289910,Action|Adventure|Western,JohnnyDepp,TheLoneRanger ,45757,TomWilkinson,English,USA,PG-13,215000000,2013,2000,6.5,48000
1,0,1,0,0,0,ZackSnyder,143,748,ChristopherMeloni,15000,291021565,Action|Adventure|Fantasy|Sci-Fi,HenryCavill,ManofSteel ,20495,HarryLennix,English,USA,PG-13,225000000,2013,3000,7.2,118000
1,0,1,0,0,0,AndrewAdamson,150,201,PierfrancescoFavino,22000,141614023,Action|Adventure|Family|Fantasy,PeterDinklage,TheChroniclesofNarnia:PrinceCaspian ,22697,DamiánAlcázar,English,USA,PG,225000000,2008,216,6.6,0
1,0,1,0,0,0,JossWhedon,173,19000,RobertDowneyJr.,26000,623279547,Action|Adventure|Sci-Fi,ChrisHemsworth,TheAvengers ,87697,ScarlettJohansson,English,USA,PG-13,220000000,2012,21000,8.1,123000
1,0,1,0,0,0,RobMarshall,136,1000,SamClaflin,40000,241063875,Action|Adventure|Fantasy,JohnnyDepp,PiratesoftheCaribbean:OnStrangerTides ,54083,StephenGraham,English,USA,PG-13,250000000,2011,11000,6.7,58000
1,0,1,0,1,0,BarrySonnenfeld,106,718,MichaelStuhlbarg,10000,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,WillSmith,MeninBlack3 ,12572,NicoleScherzinger,English,USA,PG-13,225000000,2012,816,6.8,40000
1,0,0,0,0,0,PeterJackson,164,773,AdamBrown,5000,255108370,Adventure|Fantasy,AidanTurner,TheHobbit:TheBattleoftheFiveArmies ,9152,JamesNesbitt,English,NewZealand,PG-13,250000000,2014,972,7.5,65000
1,0,1,0,0,0,MarcWebb,153,963,AndrewGarfield,15000,262030663,Action|Adventure|Fantasy,EmmaStone,TheAmazingSpider-Man ,28489,ChrisZylka,English,USA,PG-13,230000000,2012,10000,7.0,56000
1,0,1,0,0,1,RidleyScott,156,738,WilliamHurt,891,105219735,Action|Adventure|Drama|History,MarkAddy,RobinHood ,3244,ScottGrimes,English,USA,PG-13,200000000,2010,882,6.7,17000
1,0,0,0,0,0,PeterJackson,186,773,AdamBrown,5000,258355354,Adventure|Fantasy,AidanTurner,TheHobbit:TheDesolationofSmaug ,9152,JamesNesbitt,English,USA,PG-13,225000000,2013,972,7.9,83000
1,0,0,0,0,0,ChrisWeitz,113,1000,EvaGreen,16000,70083519,Adventure|Family|Fantasy,ChristopherLee,TheGoldenCompass ,24106,KristinScottThomas,English,USA,PG-13,180000000,2007,6000,6.1,0
1,1,1,0,0,1,PeterJackson,201,84,ThomasKretschmann,6000,218051260,Action|Adventure|Drama|Romance,NaomiWatts,KingKong ,7123,EvanParke,English,NewZealand,PG-13,207000000,2005,919,7.2,0
0,1,0,0,0,1,JamesCameron,194,794,KateWinslet,29000,658672302,Drama|Romance,LeonardoDiCaprio,Titanic ,45223,GloriaStuart,English,USA,PG-13,200000000,1997,14000,7.7,26000
1,0,1,0,0,0,AnthonyRusso,147,11000,ScarlettJohansson,21000,407197282,Action|Adventure|Sci-Fi,RobertDowneyJr.,CaptainAmerica:CivilWar ,64798,ChrisEvans,English,USA,PG-13,250000000,2016,19000,8.2,72000
1,0,1,1,0,0,PeterBerg,131,627,AlexanderSkarsgård,14000,65173160,Action|Adventure|Sci-Fi|Thriller,LiamNeeson,Battleship ,26679,TadanobuAsano,English,USA,PG-13,209000000,2012,10000,5.9,44000
1,0,1,1,0,0,ColinTrevorrow,124,1000,JudyGreer,3000,652177271,Action|Adventure|Sci-Fi|Thriller,BryceDallasHoward,JurassicWorld ,8458,OmarSy,English,USA,PG-13,150000000,2015,2000,7.0,150000
1,0,1,1,0,0,SamMendes,143,393,HelenMcCrory,883,304360277,Action|Adventure|Thriller,AlbertFinney,Skyfall ,2039,RoryKinnear,English,UK,PG-13,200000000,2012,563,7.8,80000
1,1,1,0,0,0,SamRaimi,135,4000,JamesFranco,24000,373377893,Action|Adventure|Fantasy|Romance,J.K.Simmons,Spider-Man2 ,43388,KirstenDunst,English,USA,PG-13,200000000,2004,11000,7.3,0
1,0,1,0,0,0,ShaneBlack,195,3000,JonFavreau,21000,408992272,Action|Adventure|Sci-Fi,RobertDowneyJr.,IronMan3 ,30426,DonCheadle,English,USA,PG-13,200000000,2013,4000,7.2,95000
1,0,0,0,0,0,TimBurton,108,11000,AlanRickman,40000,334185206,Adventure|Family|Fantasy,JohnnyDepp,AliceinWonderland ,79957,AnneHathaway,English,USA,PG,200000000,2010,25000,6.5,24000
