Indiv,Inversion Orientation,days.til.flower,node of first flower,corolla length,tube length,corolla width,stem circumfrance (btw cot and 1st leaf),first true leaf length,first true leaf width,internode length (2nd3rd nodes),internode length (1st2nd nodes),# of stolons
12,AA,30,4,26.18,17.43,28.86,2.56,22.19,17.99,17.15,0.5,10
20,AA,27,4,23.57,13.14,19.84,1.13,8.18,10.1,5.28,3.23,4
21,AA,32,5,31.54,16.29,26.6,1.72,10.77,10.96,0.5,0.5,12
29,AA,23,2,26.2,14.74,20.86,0.86,13.85,14.05,11.1,8.21,0
30,AA,26,4,29.21,14.68,26.87,4.87,24.58,18.22,8.5,4.28,8
34,AA,30,5,29.36,14.48,26.98,3.23,29.91,24.34,6.52,0.5,8
37,AA,27,4,31.42,16.76,21.65,1.62,13.61,15.75,9.1,4.71,12
39,AA,29,5,31.16,16.58,28.82,2.21,27.18,22.16,16.08,0.5,10
43,AA,30,5,36.07,17.86,28.56,2.67,17.14,19.79,9.59,0.5,10
49,AA,27,4,36.93,17.9,28.79,2.3,30.05,22.17,14.97,2,6
57,AA,37,6,25.11,12.94,22.35,1.51,7.58,7.13,2.7,0.5,8
77,AA,28,5,30.12,16.96,25.19,2.41,21.34,18.2,17.26,0.5,11
78,AA,31,5,24.76,12.34,19.69,1.64,12.82,12.26,3.77,0.5,10
91,AA,26,3,23.45,13.65,18.15,1.85,24.07,21.27,25.13,5.05,8
94,AA,27,4,27.41,15.61,23.05,1.16,18.52,14.62,3.55,0.5,8
99,AA,23,3,27.11,14.17,20.85,2.27,31.51,29.21,26.75,8.56,4
119,AA,30,4,30.87,17,32.05,1.28,10.49,11.16,12.23,3.31,4
131,AA,30,5,34.43,20.53,28.89,2.33,14.13,12.11,16.47,2.5,8
132,AA,25,3,31.11,15.54,28.65,4.4,23.59,20.89,29.66,11.28,4
150,AA,24,3,30.65,15.81,25.07,1.38,20.34,19.62,8.54,6.15,4
152,AA,25,3,25.21,14.03,21.05,2.74,28.07,27.16,20.99,6.87,4
166,AA,31,4,20.45,12.86,16.85,1.41,12.3,12.96,26.82,0.5,0
169,AA,26,3,23.11,13.94,18.4,1.29,10.58,11.6,8.18,2.37,6
195,AA,29,4,24,13.32,20.47,2.39,18.78,14.63,4.86,0.5,8
198,AA,25,3,31.31,17.19,23.53,2.5,26.15,26.71,29.27,5.02,8
201,AA,30,5,34.8,18.41,30.55,1.84,17.33,14.4,7.35,2.18,12
209,AA,25,3,32.38,16.81,25.84,3.07,31.06,25.34,36.92,7.74,4
216,AA,25,3,24.97,15.58,21.55,2.28,27.75,26.38,17.14,4.4,4
219,AA,26,3,28.59,15.23,20.91,1.52,22,19.67,11.75,3.63,4
233,AA,27,4,36.19,18.93,29.82,2.83,20.35,27.46,48.56,17.32,10
234,AA,24,3,24.11,13.57,18,1.37,17.68,14.9,8.73,3.7,4
235,AA,24,3,31.88,17.48,26.41,2.14,16.93,13.11,14.85,8.21,6
245,AA,29,3,29.31,14.91,25.01,1.4,8.23,10.36,11.11,0.5,16
269,AA,30,3,24.5,12.91,18.4,1.95,19.93,22.43,19.05,14.77,2
280,AA,29,4,29.68,14.27,23.66,1.3,18.12,15.39,8.01,1.89,9
