"gene","isoform","time","hi","lo","mean"
"col-107","a",0,315.717,131.624,223.671
"col-107","a",1,76.9223,56.1146,66.5184
"col-107","a",3,22.5638,14.8346,18.6992
"col-107","a",6,0,0,0
"col-107","b",0,311.069,127.293,219.181
"col-107","b",1,70.1712,51.3663,60.7687
"col-107","b",3,86.0307,62.3722,74.2015
"col-107","b",6,33.5764,17.0267,25.3015
"hel-1","a",0,343.978,96.6712,220.324
"hel-1","a",1,626.56,380.709,503.635
"hel-1","a",3,551.011,339.52,445.266
"hel-1","a",6,709.5,279.79,494.645
"hel-1","b",0,39.5939,14.6514,27.1227
"hel-1","b",1,44.8883,31.2126,38.0505
"hel-1","b",3,35.8024,24.3662,30.0843
"hel-1","b",6,29.3146,13.1543,21.2345
"hel-1","c",0,18.6825,6.28817,12.4854
"hel-1","c",1,54.1196,37.494,45.8068
"hel-1","c",3,40.6809,27.4407,34.0608
"hel-1","c",6,42.3194,19.1603,30.7399
"nhr-114","a",0,5.82095,1.99709,3.90902
"nhr-114","a",1,7.62263,4.86226,6.24244
"nhr-114","a",3,11.4498,7.49096,9.47037
"nhr-114","a",6,10.9667,4.48633,7.72652
"nhr-114","b",0,83.9397,35.6963,59.818
"nhr-114","b",1,35.7205,26.1281,30.9243
"nhr-114","b",3,133.73,95.9276,114.829
"nhr-114","b",6,162.084,76.2208,119.153
"nhr-114","c",0,29.7755,12.6612,21.2183
"nhr-114","c",1,53.8601,40.0261,46.9431
"nhr-114","c",3,126.201,90.5273,108.364
"nhr-114","c",6,98.4437,46.8807,72.6622
"rpl-43","a",0,68.4396,26.7625,47.601
"rpl-43","a",1,23.7273,13.4476,18.5875
"rpl-43","a",3,39.8003,24.2976,32.0489
"rpl-43","a",6,53.1769,22.6039,37.8904
"rpl-43","b",0,2533.24,828.931,1681.09
"rpl-43","b",1,783.257,545.447,664.352
"rpl-43","b",3,1350.07,894.954,1122.51
"rpl-43","b",6,1764.35,835.973,1300.16
"rpl-43","c",0,991.083,388.42,689.752
"rpl-43","c",1,1078.12,747.525,912.822
"rpl-43","c",3,1749.13,1155.26,1452.2
"rpl-43","c",6,2435.8,1142.13,1788.97
"rsp-1","a",0,27.2498,10.5594,18.9046
"rsp-1","a",1,162.181,115.679,138.93
"rsp-1","a",3,109.723,77.661,93.692
"rsp-1","a",6,135.635,67.7692,101.702
"rsp-1","b",0,120.468,46.6777,83.5727
"rsp-1","b",1,155.527,111.451,133.489
"rsp-1","b",3,162.565,114.82,138.693
"rsp-1","b",6,218.634,108.624,163.629
"rsp-1","c",0,45.1439,17.7748,31.4593
"rsp-1","c",1,26.3956,18.609,22.5023
"rsp-1","c",3,20.8212,14.253,17.5371
"rsp-1","c",6,25.6741,12.347,19.0105
"rsp-1","d",0,20.5191,6.60276,13.5609
"rsp-1","d",1,51.3746,34.7403,43.0574
"rsp-1","d",3,14.83,8.07712,11.4535
"rsp-1","d",6,19.7083,6.97276,13.3405
"rsp-3","a",0,41.3641,17.0735,29.2188
"rsp-3","a",1,95.9083,70.6663,83.2873
"rsp-3","a",3,64.4649,45.8871,55.176
"rsp-3","a",6,67.7884,34.7765,51.2824
"rsp-3","b",0,33.0885,13.4399,23.2642
"rsp-3","b",1,0.545403,0,0.271898
"rsp-3","b",3,2.59405,1.04074,1.8174
"rsp-3","b",6,5.61634,1.67657,3.64645
"rsp-3","c",0,51.3398,20.9981,36.169
"rsp-3","c",1,61.4841,44.5031,52.9936
"rsp-3","c",3,115.378,82.0492,98.7135
"rsp-3","c",6,95.6615,48.6407,72.1511
"rsp-5","a",0,10.1192,3.05914,6.58918
"rsp-5","a",1,85.4023,61.3286,73.3654
"rsp-5","a",3,63.8952,45.2983,54.5968
"rsp-5","a",6,59.7651,30.173,44.969
"rsp-5","b",0,44.4446,17.5762,31.0104
"rsp-5","b",1,88.7785,64.1038,76.4412
