Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSample_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Platform_s	ReleaseDate_s	Run_s	SRA_Sample_s	SRA_Study_s	Sample_Name_s	Center_Name_s	Consent_s	LibrarySource_s
EST	76	PRJNA75285	SAMN00003036	SRX008168	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L2 stage larvae	2014-05-26	978	702	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023824	SRS004681	SRP001065	L2 stage larvae	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003036	SRX008255	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L2 stage larvae	2014-05-26	1046	725	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023761	SRS004681	SRP001065	L2 stage larvae	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003036	SRX008211	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L2 stage larvae	2014-05-26	885	625	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023719	SRS004681	SRP001065	L2 stage larvae	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003036	SRX008261	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L2 stage larvae	2014-05-26	748	538	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023670	SRS004681	SRP001065	L2 stage larvae	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003036	SRX008008	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. L2 stage larvae	2014-05-26	2245	1562	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023542	SRS004681	SRP001065	L2 stage larvae	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003037	SRX008009	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. L3 stage larvae, 12 hr post-molt	2014-05-26	1700	1136	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023507	SRS004682	SRP001065	L3 stage larvae, 12 hr post-molt	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003037	SRX008194	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, 12 hr post-molt	2014-05-26	511	365	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023649	SRS004682	SRP001065	L3 stage larvae, 12 hr post-molt	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003037	SRX008207	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, 12 hr post-molt	2014-05-26	523	374	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023731	SRS004682	SRP001065	L3 stage larvae, 12 hr post-molt	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003037	SRX008224	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, 12 hr post-molt	2014-05-26	587	412	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023677	SRS004682	SRP001065	L3 stage larvae, 12 hr post-molt	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003037	SRX008244	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, 12 hr post-molt	2014-05-26	738	533	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023760	SRS004682	SRP001065	L3 stage larvae, 12 hr post-molt	BDGP	public	TRANSCRIPTOMIC
