Contig_ID,Linkage_Group,Location_Used_Map_Creation,Location_SCL
G3_NODE_2369536_length_276_cov_11.155797,GR10,0,
G3_NODE_4609880_length_2934_cov_8.148943,GR13,0,
G3_NODE_414958_length_1993_cov_7.203713,GR16,0,
G3_NODE_1826489_length_1326_cov_11.938914,GR17,0,
G3_NODE_3779830_length_302_cov_11.142385,GR18,0,
G3_NODE_1620656_length_2277_cov_7.417216,GR2,0,
G3_NODE_3532947_length_2350_cov_7.522128,GR3,0,
G3_NODE_164648_length_1694_cov_8.714286,GR6,0,
G3_NODE_1399289_length_271_cov_7.760148,GR7,0,
G3_NODE_4491938_length_4144_cov_7.111728,GR8,0,
G3_NODE_3721396_length_764_cov_12.188481,GR9,0,
G3_NODE_2026711_length_498_cov_12.008032,GR5,0.325,
G3_NODE_4139723_length_2105_cov_8.790974,GR7,1.538,
G3_NODE_737749_length_890_cov_4.368539,GR12,1.863,
G3_NODE_2418082_length_366_cov_13.120218,GR3,2.297,
G3_NODE_388640_length_4174_cov_6.639435,GR2,3.195,
G3_NODE_3536504_length_523_cov_6.699809,GR10,3.794,
G3_NODE_214089_length_3247_cov_8.254389,GR19,3.806,
G3_NODE_4814394_length_2948_cov_7.635685,GR10,4.956,
G3_NODE_3760075_length_337_cov_4.492581,GR2,5.692,
G3_NODE_1252891_length_1635_cov_11.981651,GR6,5.692,
G3_NODE_629034_length_2557_cov_6.777473,GR10,5.811,
G3_NODE_2834444_length_2529_cov_7.899565,GR10,6.616,
G3_NODE_2631994_length_1010_cov_9.755445,GR10,7.216,
G3_NODE_2470471_length_405_cov_12.950617,GR7,7.701,
G3_NODE_1673261_length_2567_cov_7.583171,GR8,7.714,
G3_NODE_911360_length_1050_cov_6.962857,GR10,7.733,
G3_NODE_5276919_length_2642_cov_4.468585,GR13,7.81,
G3_NODE_3565658_length_246_cov_11.048780,GR3,8.189,
G3_NODE_55060_length_6554_cov_8.275709,GR15,8.279,
G3_NODE_3481120_length_1413_cov_6.093418,GR2,8.28,
G3_NODE_215157_length_809_cov_12.461063,GR20,8.467,
G3_NODE_332162_length_609_cov_9.403941,GR19,8.547,
G3_NODE_49463_length_1879_cov_10.356573,GR12,8.572,
G3_NODE_4688879_length_3237_cov_7.899290,GR5,8.839,
G3_NODE_3144959_length_645_cov_7.761240,GR18,9.062,
G3_NODE_1152075_length_2232_cov_7.566756,GR5,9.224,
